Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2498,ARISH SURGICAL (PVT) LTD.,8-KM RAIWIND,,5320925,,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2499,AZAD COTTAGE INDUSTRIES,236/S INDUSTRIAL AREA KOT LAKHPAT,,5118909,,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2500,COTTON CRAFT (PVT) LTD,MAIN CANAL VIEW SOCIETY MULTAN ROAD,,"5420215, 5420430",,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2501,KAREEM INDUSTRIES,RAIWIND ROAD,,"5392174, 7249148",,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2502,MED SURGICAL INTERNATIONAL,8-KM RAIWIND ROAD,,5320605,,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2503,MOON COTTON INDUTRIES (PVT) LTD.,8-KM RAIWIND ROAD,,5321765-66,,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2504,PHARMA COTTON PVT.,LTD. 31 KM FEROZEPUR ROAD,,"5271322, 7323191",,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2505,S. FAZAL-E-ILAHI & SONS,"(PVT) LTD, RAIWIND SUNDER ROAD",,5393571 www.sfs.com.pk,,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2506,SURGICAL FIBRE 1-KM KATAR BUND ROAD THOKAR NIAZ BAIG,,,"5422530, 5420200",,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
NEW-2507,SURGITEX REHMAN RAINBOW (PVT) LTD.,82 INDUSTRIAL. ESTATE KOT LAKHPAT,,5153889,,SURGICAL COTTON / BANDAGES,SURGICAL COTTON
